interaction_id,user_id,recipe_id,viewed,liked,saved,rating,date_interaction
1,1,1,True,False,False,4.5,2024-03-13
2,1,2,True,True,False,4.5,2025-12-13
3,1,3,True,False,False,4.5,2024-06-01
4,1,4,False,False,False,,2025-10-07
5,1,5,True,False,True,4.0,2025-01-14
6,1,6,True,False,False,4.0,2024-01-15
7,1,7,True,False,False,3.9,2025-05-23
8,1,8,True,False,False,5.0,2024-01-09
9,1,9,False,False,False,,2025-01-04
10,1,10,False,False,False,,2025-03-23
11,1,11,True,False,False,,2025-06-22
12,1,12,True,False,False,3.5,2025-01-23
13,1,13,False,False,False,,2025-10-02
14,1,14,True,False,True,4.3,2025-07-05
15,1,15,True,False,False,5.0,2024-09-03
16,1,16,True,False,True,3.6,2025-02-10
17,1,17,False,False,False,,2025-02-21
18,1,18,True,False,False,3.7,2025-12-10
19,1,19,True,False,False,,2025-03-29
20,1,20,True,True,False,4.9,2025-12-19
21,1,21,True,False,False,,2025-04-28
22,1,22,False,False,False,,2025-06-11
23,1,23,True,True,False,4.5,2024-04-18
24,1,24,True,False,True,4.0,2024-08-08
25,1,25,True,True,False,,2025-06-11
26,1,26,True,False,False,,2025-03-15
27,1,27,True,True,False,4.2,2025-10-26
28,1,28,True,True,False,,2025-02-16
29,1,29,True,False,False,4.5,2024-09-02
30,1,30,True,True,False,,2024-07-25
31,1,31,True,True,True,4.5,2024-03-16
32,1,32,False,False,False,,2025-02-26
33,1,33,True,False,False,3.5,2024-05-25
34,1,34,True,True,False,,2025-07-17
35,1,35,True,False,False,,2025-01-06
36,1,36,True,True,False,,2025-11-25
37,1,37,True,True,False,4.4,2025-05-15
38,1,38,True,False,False,4.5,2024-07-06
39,1,39,False,False,False,,2025-04-02
40,1,40,True,False,False,,2024-06-15
41,1,41,True,True,False,,2025-09-17
42,1,42,True,True,False,,2025-09-29
43,1,43,False,False,False,,2025-11-03
44,1,44,True,True,False,,2025-06-07
45,1,45,True,True,False,4.5,2025-02-05
46,1,46,False,False,False,,2025-09-30
47,1,47,False,False,False,,2025-03-07
48,1,48,True,False,False,,2025-11-07
49,1,49,True,True,False,,2025-04-13
50,1,50,False,False,False,,2025-07-24
51,1,51,False,False,False,,2025-11-29
52,1,52,True,False,False,3.1,2025-01-11
53,1,53,True,True,False,4.3,2025-04-28
54,1,54,True,True,False,,2025-05-23
55,1,55,True,True,True,,2025-10-20
56,1,56,True,True,False,3.2,2025-12-04
57,1,57,True,False,False,,2025-12-11
58,1,58,True,False,True,,2025-02-25
59,1,59,True,True,False,3.6,2025-05-08
60,1,70,False,False,False,,2025-02-08
61,1,71,True,False,False,5.0,2025-01-08
62,1,72,False,False,False,,2025-05-02
63,1,73,True,False,False,3.1,2025-07-14
64,1,74,True,False,False,,2025-05-27
65,1,75,True,False,False,,2025-09-07
66,1,76,True,True,False,,2025-10-05
67,1,77,True,False,True,4.8,2025-09-29
68,1,78,True,False,True,4.2,2025-12-12
69,1,79,False,False,False,,2025-07-26
70,1,80,True,False,False,,2025-11-14
71,1,81,True,False,False,3.5,2025-12-09
72,1,82,False,False,False,,2025-05-03
73,1,83,True,True,False,4.9,2025-02-07
74,1,84,True,False,False,4.1,2025-09-17
75,1,85,True,False,False,,2025-07-09
76,1,86,True,False,False,5.0,2025-12-01
77,1,87,True,False,False,,2025-02-23
